1,group represent colombian government negotiation pfizer speak english,pfizer denied information,0
2,rescuer rio de janeiro dy covid 19 vaccine,man died myocardial infarction adverse reaction immunization took according local health official,0
3,spanish government going give 560 euro test positive coronavirus,hoax spanish government raised measure content refers united kingdom,0
4,53 people died gibraltar receiving vaccine covid 19,gibraltar chief minister fabi n picardo assures maldita e fake news gibraltar health authority assures evidence,0
5,pfizer vaccination stopped due death 400 people norway,stage neither norway pfizer made decision norway continues vaccination accordance existing protocol according data website norwegian institute public health 104 case predictable side effect among 70 000 vaccinated people january 21 official source mention 400 death vaccination,0
6,bilderberg group planning depopulation vaccine,video based fact autors understand real action bilderberg group un,0
7,pfizer paused vaccine delivery mexico due omission federal government,true pharmaceutical company pfizer stopped delivering vaccine covid 19 mexico due dark circumstance assured social network reality company made adjustment production distribution vaccine stopped mexico also country,0
8,admitted positive pcr result false pandemic � fake�,published information notice regarding pcr test say test inadequate state false positive occur never denied recommends set practice reduce number occurances,0
9,peruvian court found gate soros rockefeller guilty producing sars cov 2,court ruling virus cause covid 19 peru produced human hand appeal court used statement explaining delay case pandemic,0
10,man died coronavac vaccine,man heart attack related vaccine,0
11,covid 19 vaccine nullifies 2 79 population,claim misinterprets u cdc report,0
12,video show first woman vaccined presidente figueiredo receive injection,first woman received injection reenacted scene photographer original video show scene deliberately edited remove actual injection,0
13,nasal spray neutralizes covid 19 minute,enough scientific data effect solution coronavirus human data available product level animal trial,0
14,nanovaccine produced home cure virus,article show false statement aboout vaccine,0
15,facebook post claim world bank giving loan small business africa,world bank confirmed afp fact check post emanated fraudulent account linked cybercrime attack targeting institution,0
16,atlanta baseball legend hank aaron death linked moderna covid 19 vaccination,vaccine tested safety medical examiner well morehouse school medicine aaron vaccinated said death unrelated immunization,0
17,video show german politician roland grillmeier faked covid 19 vaccination,grillmeier fake vaccination video show test run vaccination camp november grillmeier claim vaccinated covid 19 yet,0
18,governor sao paulo decree isolation measure state travel state rio de janeiro following weekend,record show governor attended event state sao paulo weekend,0
19,joe biden said chloroquine effective covid 19,fact biden already taken stand drug said serious doctor would prescribe,0
20,brazilian ex president lula son bought 20 share sinovac biotech,brazilian name appear among shareholder company developed coronavac vaccine,0
21,admitted covid 19 test result grossly exceeded number infected people,information notice published world health organization january 20 state pcr test result exceed number infected people notice actually summarizes recommendation consider pcr testing diagnosing coronavirus information notice medical personnel recommended consider patient clinical presentation contact confirmed case factor together pcr test result diagnosing coronavirus lab technician carefully read user manual pcr test,0
22,announced pcr test give false positive result immediately biden took office,document information note statement reminding laboratory staff carefully read user manual come test note contain information pcr test likely give false positive result,0
23,image show vice president argentina cristina fern ndez de kirchner vaccinated fake nurse named ximo estavez,vice president received first dose sputnik v one applied vice minister health province buenos aire nicol kreplak kreplak clinician sanitarista administered vaccine hospital presidente per��n de avellaneda,0
24,pfizer biontech vaccine le effective expected,expected first dose vaccine offer 50 percent protection pfizer biontech vaccine announced first dose efficacy 52 percent trial result,0
25,chain circulates whatsapp indicates province buenos aire argentina looking volunteer vaccination campaign,message circulating summons volunteer join buenos aire province vaccination plan exchange remuneration 32 thousand false buenos aire ministry health denied viral chain pointed volunteer campaign promote second stage buenos aire vacunate plan solidarity unpaid addition ministry indicates volunteer complete google form accompanies viral text personal data requested since misinformation,0
26,mask negative impact 68 child,project germany gave self selected group parent chance report child negative reaction wearing mask using subjective criterion describe childrens reaction,0
27,image say plan bill gate pandemic introduce chip covid vaccine,image false confuses concept digital certificate cast doubt vaccine,0
28,lula son fabio lula da silva joao doria governor sao paulo conspired buy stock sinovac nowadays lula son owns 20 company,sinovac stock frozen since february 2019 none major stockholder brazilian,0
29,pfizer tested antibiotic minor nigeria leaving 200 people dead,1996 nigeria hit meningitis epidemic hundred child given experimental oral antibiotic trovan developed pfizer hundred received ceftriaxone � gold standard� treatment modern medicine five child died taking trovan six � taking ceftriaxone later claimed pfizer proper consent parent use experimental drug child question raised documentation trial legal action filed company alleged received dose lower recommended leaving many child brain damage paralysis slurred speech pfizer argued meningitis antibiotic led death 11 child ultimately following 15 year court dispute pfizer paid usd 175 000 family four child,0
30,� ivermectin drug eliminate coronavirus 48 hours�,ivermectin tested cell culture shown effective sars cov 2 used concentration higher approved use human unregulated use highly toxic,0
31,actor fernanda torres said hoped covid 19 helped eliminate bolsonaro supporter,wrote text criticizing federal government lack action covid 19 bolsonaro supporter denial pandemic say hoped died,0
32,covid 19 vaccine alter genetic code cause cancer,according health authority virologist oncologist interaction genetic material immunization minimal restricted action coronavirus body capacity cause mutation cancer,0
33,luciano hang bolsonaro militant businessman donated 200 oxygen cylinder state amazona,date publication businessman made donation adviser informed aos fatos,0
34,covid 19 antigen test image come prepared test positive negative,antigen test control swab used check test reagent working properly,0
35,un publishes list country purchased covid vaccine different laboratory bought mexico list,�s false agency published information mexico appear list country receive dos covax initiative,0
36,ranked sri lanka fifth best country covid 19 response,world health organization ranked sri lanka fifth best country covid 19 response fake post going viral social medium,0
37,woman died second taking covid vaccine,woman fainted taking jab alive,0
38,saying need wear mask,recommends people wear mask protect covid 19,0
39,ecuador find cure coronavirus,message false ecuador find cure,0
40,clinical trial indonesia recorded sinovac covid 19 vaccine 91 25 efficacy rate,interim data phase iii trial sinovac vaccine indonesia showed efficacy rate 65.3% phase iii trial turkey tallied 91 25 efficacy rate,0
41,pfeizer denied group representing colombian government negotiation pfeizer know speak english,pfizer denied information,1
42,rescuer rio de janeiro rumored died covid 19 vaccine actually died myocardial infarction,man died myocardial infarction adverse reaction immunization took according local health official,1
43,560 euro given people test positive covid 19 united kingdom spain,hoax spanish government raised measure content refers united kingdom,1
44,rumor 53 people died gibraltar receiving covid 19 vaccine fake news according gibraltar chief minister gibraltar health authority,gibraltar chief minister fabi n picardo assures maldita e fake news gibraltar health authority assures evidence,1
45,norway stopped pfeizer vaccination according norwegian institute public health 104 case predictable side effect among 70 000 vaccinated people january 21st official source confirm rumor 400 death,stage neither norway pfizer made decision norway continues vaccination accordance existing protocol according data website norwegian institute public health 104 case predictable side effect among 70 000 vaccinated people january 21 official source mention 400 death vaccination,1
46,bildenberg group planning depopulation vaccine rumor stating started people understand action bildenberg group un,video based fact autors understand real action bilderberg group un,1
47,pfeizer stopped delivering vaccine mexico due omission federal government dark circumstance due adjustment production fo covid 19 vaccine affected multiple country,true pharmaceutical company pfizer stopped delivering vaccine covid 19 mexico due dark circumstance assured social network reality company made adjustment production distribution vaccine stopped mexico also country,1
48,positive pcr result aflse pandemic fake published information notice stating positive result may false recommending set practice reduce number false positive result,published information notice regarding pcr test say test inadequate state false positive occur never denied recommends set practice reduce number occurances,1
49,rumor peruvian court found gate soros rockefeller guilty producing sars cov 2 false truth appeal court peru used rumor excuse delay ruling case pandemic,court ruling virus cause covid 19 peru produced human hand appeal court used statement explaining delay case pandemic,1
50,man rumored died coronavac vaccine actually heart attack unrelated vaccine,man heart attack related vaccine,1
51,claim covid 19 vaccine nullifies 2 79 population false misinterpretation u cdc report,claim misinterprets u cdc report,1
52,first woman vaccinated presidente figueiredo received vaccine medical specialist reenacted scene photographer resulting video scene later got edited show reenactment,first woman received injection reenacted scene photographer original video show scene deliberately edited remove actual injection,1
53,currently nasal spray human use neutralizes covid 19 minute avalible data product come pre clinical trial animal enough information effect human,enough scientific data effect solution coronavirus human data available product level animal trial,1
54,article claim nanovaccine producesd home cure virus make false statement vaccine,article show false statement aboout vaccine,1
55,fraudulent facebook account linked cybercrime attack targeting world bank made post falsely claiming world bank giving loan small business africa confirmed world bank afp fact check,world bank confirmed afp fact check post emanated fraudulent account linked cybercrime attack targeting institution,1
56,rumor atlanta baseball legend hank aaron death linked moderna covid 19 vaccination untrue medical examiner morehouse school medicine aaron vaccinated stating death unrelated vaccine,vaccine tested safety medical examiner well morehouse school medicine aaron vaccinated said death unrelated immunization,1
57,roland grillmeier german politician filmed test run vaccination camp november claim vaccinated yet video claiming faked vaccination misinterpretation fact,grillmeier fake vaccination video show test run vaccination camp november grillmeier claim vaccinated covid 19 yet,1
58,claim governor sao paulo decreed isolation measure state travelled state rio de janeiro following weekend false record show attended event state sao paulo weekend,record show governor attended event state sao paulo weekend,1
59,rumor joe biden said chloroquine effective covid 19 false biden fact taken stand drug said serious doctor would prescribe,fact biden already taken stand drug said serious doctor would prescribe,1
60,rumor brazilian ex president lula son bought 20 share sinovac biotech false neither brazillian name appears among shareholder company developed coronavac vaccine,brazilian name appear among shareholder company developed coronavac vaccine,1
61,stated covid 19 test result grossly exceeded number infected people published information notice stating positive result may false recommending set practice reduce number false positive result,information notice published world health organization january 20 state pcr test result exceed number infected people notice actually summarizes recommendation consider pcr testing diagnosing coronavirus information notice medical personnel recommended consider patient clinical presentation contact confirmed case factor together pcr test result diagnosing coronavirus lab technician carefully read user manual pcr test,1
62,announced pcr test give false positive result immediately biden took office released information note reminding laboratory staff carefully read user manual come test,document information note statement reminding laboratory staff carefully read user manual come test note contain information pcr test likely give false positive result,1
63,image show vice president argentina cristina fern ndez de kirchner vaccinated fake nurse named ximo estavez incorrect vice president received first dose sputnik v administered vice minister health province buenos aire nicol kreplak clinician,vice president received first dose sputnik v one applied vice minister health province buenos aire nicol kreplak kreplak clinician sanitarista administered vaccine hospital presidente per��n de avellaneda,1
64,rumor pfizer biontech vaccine le effective expected untrue expected protection first vaccine dose 50 percent efficacy announced pfizer biontech 52 percent,expected first dose vaccine offer 50 percent protection pfizer biontech vaccine announced first dose efficacy 52 percent trial result,1
65,message chain circulates whatsapp indicating province buenos aire argentina looking volunteer vaccination campaign willing pay 32 thousand false buenos aire ministry health stating vaccination campaign unpaid based solidarity advising people complete google form accompanying text send text,message circulating summons volunteer join buenos aire province vaccination plan exchange remuneration 32 thousand false buenos aire ministry health denied viral chain pointed volunteer campaign promote second stage buenos aire vacunate plan solidarity unpaid addition ministry indicates volunteer complete google form accompanies viral text personal data requested since misinformation,1
66,claim mask negative impact 68 child come project germany using self selected group parent reported child negative reaction wearing mask using subjective criterion skewing result making finding non applicable general population,project germany gave self selected group parent chance report child negative reaction wearing mask using subjective criterion describe childrens reaction,1
67,image say bill gate plan regarding pandemic introduce chip covid 19 vaccine false misunderstands concept digital certificate,image false confuses concept digital certificate cast doubt vaccine,1
68,rumor lula son fabio lula da silva joao doria governor sao paulo conspired buy stock sinovac lula son currently owns 20 company false sinovac stock frozen since february 2019 none shareholder brazillian,sinovac stock frozen since february 2019 none major stockholder brazilian,1
